DisplayName,GivenName,Surname,sAMAccountName,EmailAddress,Title,EmployeeID,EmployeeNumber,Department,Company,OfficePhone,physicalDeliveryOfficeName,StreetAddress,City,State,PostalCode,Country
Jeremias Espinosa,Jeremias,Espinosa,Jeremias.Espinosa,Jeremias.Espinosa@abt-networks.net,Accounting Manager,1665,1601,Accounting,ABT Networks,12125990184 1665,ABT Networks,200 Park Avenue,New York,NY,10166,US
Carlota Melgar,Carlota,Melgar,Carlota.Melgar,Carlota.Melgar@abt-networks.net,Accountant,2345,155,Accounting,ABT Networks,12125990184 2345,ABT Networks,200 Park Avenue,New York,NY,10166,US
Cristobal Valentin,Cristobal,Valentin,Cristobal.Valentin,Cristobal.Valentin@abt-networks.net,Accountant,2818,1572,Accounting,ABT Networks,12125990184 2818,ABT Networks,200 Park Avenue,New York,NY,10166,US
Ataa Badakhshi,Ataa,Badakhshi,Ataa.Badakhshi,Ataa.Badakhshi@abt-networks.net,Accountant,2329,1496,Accounting,ABT Networks,12125990184 2329,ABT Networks,200 Park Avenue,New York,NY,10166,US
Shams Elmarakshi,Shams,Elmarakshi,Shams.Elmarakshi,Shams.Elmarakshi@abt-networks.net,Accountant,1434,552,Accounting,ABT Networks,12125990184 1434,ABT Networks,200 Park Avenue,New York,NY,10166,US
Hasibah Kassis,Hasibah,Kassis,Hasibah.Kassis,Hasibah.Kassis@abt-networks.net,Senior Accountant,2216,104,Accounting,ABT Networks,12125990184 2216,ABT Networks,200 Park Avenue,New York,NY,10166,US
Shams Miseidani,Shams,Miseidani,Shams.Miseidani,Shams.Miseidani@abt-networks.net,Accountant,2135,1094,Accounting,ABT Networks,12125990184 2135,ABT Networks,200 Park Avenue,New York,NY,10166,US
Corey Gray,Corey,Gray,Corey.Gray,Corey.Gray@abt-networks.net,Senior Accountant,2697,1349,Accounting,ABT Networks,12125990184 2697,ABT Networks,200 Park Avenue,New York,NY,10166,US
Elizabeth Moore,Elizabeth,Moore,Elizabeth.Moore,Elizabeth.Moore@abt-networks.net,Accountant,2142,575,Accounting,ABT Networks,12125990184 2142,ABT Networks,200 Park Avenue,New York,NY,10166,US
Abigail Jackson,Abigail,Jackson,Abigail.Jackson,Abigail.Jackson@abt-networks.net,Accountant,2382,697,Accounting,ABT Networks,12125990184 2382,ABT Networks,200 Park Avenue,New York,NY,10166,US
Frederique Pelletier,Frederique,Pelletier,Frederique.Pelletier,Frederique.Pelletier@abt-networks.net,Accounting Director,1304,1633,Accounting,ABT Networks,12125990184 1304,ABT Networks,200 Park Avenue,New York,NY,10166,US
Elise Vadeboncoeur,Elise,Vadeboncoeur,Elise.Vadeboncoeur,Elise.Vadeboncoeur@abt-networks.net,Accountant,1038,1592,Accounting,ABT Networks,12125990184 1038,ABT Networks,200 Park Avenue,New York,NY,10166,US
